"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Roads Authority","11","RA\DEV\2015-16\02","CONSTRUCTION OF THE NJAKWA – LIVINGSTONIA ROAD","implementation","construction","The Njakwa – Livingstonia Road project has a total length of 78.5Km","6.0	PROJECT BENEFITS The project has many benefits to the people along the road and to the country as a whole. Some of the benefits will include;  6.1 	Road Maintenance costs With the new construction from gravel to bituminous surfaced standard, the road will operate in an all-weather condition. Ultimately, emergency maintenance works during the rainy season and costs will be reduced as concentration will be on routine maintenance activities such as drainage structures cleaning, line marking, grass cutting and patching of any potholes that may occur.  6.2	Vehicle Operating and Passenger Travel costs Vehicle operating costs savings constitute the most important benefit attributable to the project. This will have direct reduction on maintenance cost of the vehicles, reduced fuel consumption and travel time.  	6.3	Agriculture The area where the road passes is an agricultural rich area for mainly tobacco, coffee, maize and bananas. The upgrading of the road will ease problems of transporting farm inputs and produce to and from various markets.  	6.4	Environmental and Health The upgrading of the road will reduce the occurrence of dust and mud along the project area and thereby improving sanitation which means reduction in the spread of diseases which are airborne or waterborne. This will reduce the cost of medicines which would have been required to treat the people affected. The upgrading of the road will allow the communities good access to health facilities in town.  	6.5	Employment Creation and Business Boosting The people around the area of the road project are also benefitting by getting employed in various road activities by the Contractor.  During project implementation and after, a lot of businesses will mushroom along the project road and the communities will be empowered economically.  6.6	Boosting Mining  The road will provide an all weather access to places of notable activities of national and economic importance like Kaziwiziwi coal mine and other undeveloped potential mining areas.  6.7	Tourism The road passes through a historical Livingstonia mission which has other establishments such as the University of Livingstonia. The road also passes through tourist attraction areas of Manchewe falls before descending the beautiful meandering Golodi escarpments to meet the M01 road at Chitimba.","2016-11-01","2020-05-01","MWK","39815658687.27",""
"Dedza District Council","14","DZDC/GESD/W/2021-22 - LOT 1","Completion of Bema Dispensary","implementation","construction","The works involve the completion of 1No dispensary, construction of 2No staff houses, provision of running water and all associated plumbing works","To improve health service delivery in the district","2021-11-01","2022-03-01","MWK","85000000.00",""
"Mchinji District Council","13","001","Upgrading of M12 to Ludzi Road","completed","construction","Upgrading to bituminous standard 6km","Ease of transport to main district headquaters","2019-08-22","2020-04-30","MWK","1300000000.00",""
"Roads Authority","20","RA/DEV/14/08","UPGRADING OF THYOLO-THEKERANI-MUONA-MAKHANGA ROAD","implementation","construction","The 83 km long project road is in the Southern Region of Malawi and traverses the districts of Thyolo and Nsanje. The project road branches off from the Limbe – Thyolo – Muloza (M02) road at Nambala Wani in Thyolo district and extends southwards passing through Muona trading centre and ending at Makhanga trading centre in Nsanje district. The project road is joined by the East Bank (S152) road at Muona trading centre before joining the (M01) road at Bangula trading centre.","The project has many benefits to the people along the road and to the country as a whole. Some of the benefits include;  6.1	Boosting Agriculture  The road passes through tea estates which is one of the major forex earners for Malawi. Upgrading this road will ensure that there is ease of access to markets for farm produce.  6.2	Direct employment during construction There is direct employment during construction which has a direct bearing on poverty reduction as many people including women are benefiting directly from the project, as some of them are being employed whereas some benefit through buying and selling of agriculture produce from their gardens.    6.3	Reduction in Vehicle Operating Costs Reconstruction and Upgrading of the road will result in reduction of vehicle operating costs which constitutes the major benefit attributable to such new projects.   6.4	Reduction in Travel Time The project will help reduce travel time from the agricultural rich Nsanje district towards the commercial city of Blantyre.","2016-08-15","2019-08-14","MWK","27317366355.36",""
"Ntcheu District Council","23","MW-RA-51975-CW-RFB","MALAWI SECOND AGRICULTURESECTOR WIDW APPROACH","completed","construction","Upgrading of Junction M001(Chinyamula to Mphepozinai (10km) to Low Volume Seal Roads (LVR) Standards in Ntcheu District","To help improve transportation of Farm Inputs and Farm Products","2019-08-05","2020-11-30","MWK","908000000.00",""
"Roads Authority","22","RA\DEV\2017-18\04","UPGRADING OF THE NTCHEU-TSANGANO-NENO ROAD LOT 1 (FIRST 21 KILOMETERS)","implementation","construction","The Ntcheu-Tsangano-Neno-Mwanza Road is 140 Kms long. It starts from junction with M01 at Biriwiri (commonly known as Tsangano Turn-Off) passing through some trading centres like Kambilonjo, Doviko, Tsangano and connects with M06 at junction to Mwanza. This project involves the upgrading works from earth to bitumen standard of approximately 140 km of road section from Biriwiri to Mwanza. The project will be executed in a phased approach with the the first covering a distance of 21km from Biriwiri to Kambilonjo. The contract commenced on 3rd of April 2018 and will be completed on 3rd April 2019",".1	Direct employment during construction  The people around the area of the road project will benefit by getting employed in various road activities by the Contractor.    During project implementation and after, a lot of businesses will mushroom along the project road and the communities will be empowered economically.  .2	Reduction in Vehicle Operating Costs  Upgrading of the road will result in reduction of vehicle operating costs which constitutes the major benefit attributable to such new projects.  		 .3	Reduction in Travel Time and Cost   The project will help reduce travel time from the agricultural areas between Ntcheu and Tsangano.  Passengers will now be paying less and spending less time on travel. Availability of buses and minibuses will greatly improve.  .4    Road Maintenance costs  With the upgrading of this road to bitumen standard, maintenance costs of the road will be reduced greatly. Currently, funds are supposed to be allocated annually to carry out grading and other maintenance works on drainage.  .5    Agriculture  The area where the road passes is an agricultural area for mainly Irish potatoes and maize. The upgrading of the road will ease problems of transporting farm inputs and produce to and from various markets.  .6    Environmental and Health  The upgrading will reduce the occurrence of dust and mud along the project area and thereby improving sanitation which means reduction in the spread of diseases which are airborne or waterborne. This will reduce the cost of medicines which would have been required to treat the people affected. The upgrading of the road will allow the communities good access to health facilities in town especially for referral cases.","2018-04-03","2019-04-03","MWK","9680744481.55",""
"Directorate of Buildings (DoB)","26","08/2018","Construction of Weighbridge Station at Dwangwa in Nkhata-kota","implementation","construction","Construction of Weigh Bridge Station, Staff Houses and External Works","To control axle load","2018-09-17","2022-06-15","MWK","650107064.02",""
"Roads Authority","28","RA/DEV/2019-20/12","UPGRADING OF NSANAMA-NAYUCHI ROAD (MOZAMBIQUE BORDER) -T393","implementation","construction","The Nsanama-Nayuchi/Mozambique Border Road section is approximately 44 km long with very sandy soils. The road starts at Nsanama and ends at Nayuchi on the Mozambique border. It passes through two trading centres, namely Mbanila and Namanja. The scope of works under this project is the upgrading of 10km of road section from Nsanama to Nkhande Bridge towards Nayuchi.The works will include construction of a 6.7m wide carriageway and 1.5m wide sealed shoulders on each side of the road. The pavement layers will be constructed from natural gravels with 50mm Asphalt Concrete surfacing.","The project will have many benefits to the people along the road and to the country as a whole. Some of the benefits will include; 1. 	Road Maintenance costs With the new road construction from earth to bituminous surfaced standard, the road will operate in an all-weather condition. Ultimately, emergency maintenance works during the rainy season and costs will be reduced as concentration will be on routine maintenance activities such as drainage structures cleaning, line marking, grass cutting and patching of any potholes that may develop. The road has been raised to prevent over flooding / overtopping during rainy season which will make travel safety all year round.   2	Vehicle Operating and Passenger Travel costs Vehicle operating costs savings constitute the most important benefit attributable to the project. This will have direct reduction on maintenance cost of the vehicles, reduced fuel consumption and travel time.  3	Agriculture The area where the road passes is an agricultural area for mainly sorghum. The improvement of the road will ease problems of transporting farm inputs and produce to and from various markets.  4	Employment Creation and Business Boosting The people around the area of the road project will also benefit by getting employed in various road activities by the Contractor. During project implementation and after, a lot of businesses will be enhanced along the project road and the communities will be empowered economically.  5	Inter-Border Trade It is hoped that the improvement of the road will enhance movement of goods between the two countries of Mozambique and Malawi, thereby boosting trade.  6	Reduction of travel time The construction of the road will help reduce the travel time thereby increasing the people productive time to work and businesses.","2021-04-23","2022-02-22","MWK","5361576130.35",""
"Karonga District Council","31","KADC/DDF/2020-21/06","Construction of Iponga Guardian Shelter","implementation","construction","Construction of Shelter with male and female rooms, kitchen and washing facilities","This is to allow guardians give extra care for their wards/patients while receiving treatment at a Health Facility","2021-10-02","2021-12-31","MWK","14421739.50",""
"Balaka District Council","37","BDC/IPDC/RFQ/GESD/2021-2022/02","CONSTRUCTION OF LIVIRIVI EPA OFFICE BLOCK","implementation","construction","Building of Livirivi EPA office block where there is going to be a staff room, common room.","to provide a better working condition","2021-11-15","2022-03-15","MWK","33935887.56",""
